fuel,km_drove,location,model,owner,price,url
Diesel,29500 ,Pune,Toyota Etios Cross 1.4 GD 2019,First Owner,700000,https://droom.in/product/toyota-etios-cross-14-gd-2019-5f2e3fb964865d690ce3ae58
Diesel,126000 ,Panchkula,Volkswagen Jetta 2.0L TDI Comfortline 2010,Second Owner,400400,https://droom.in/product/volkswagen-jetta-20l-tdi-comfortline-2010-5f2a51e23c81adca068b458f
Diesel,209000 ,Bharuch,Tata Safari Storme LX 2013,First Owner,300000,https://droom.in/product/tata-safari-storme-lx-2013-5f2b0698cef3ac1e0b00ee42
Diesel,12000 ,Aurangabad,Jeep Compass Limited Plus 2.0 Diesel 4X2 2019,First Owner,2100000,https://droom.in/product/jeep-compass-limited-plus-20-diesel-4x2-2019-5f2c216b1581ad91068b45a1
Diesel,45100 ,Chennai,Toyota Etios Liva VD Dual Tone 2017,First Owner,620000,https://droom.in/product/toyota-etios-liva-vd-dual-tone-2017-5f2ec752c68a5daa0d43fecb
Diesel,32000 ,Bangalore,Volkswagen Passat Trendline MT 2013,Second Owner,1200000,https://droom.in/product/volkswagen-passat-trendline-mt-2013-5f27c2ce056e4be90ba2e698
Diesel,36500 ,Ludhiana,Maruti Suzuki Swift DZire ZDi 2015,First Owner,550000,https://droom.in/product/maruti-suzuki-swift-dzire-zdi-2015-5f2bcbfb7180ad35078b4579
Diesel,73000 ,Ahmedabad,Audi Q5 30 TDI Premium Edition 2016,First Owner,2150000,https://droom.in/product/audi-q5-30-tdi-premium-edition-2016-5f2e809120724ba2068b4589
Diesel,73000 ,Ahmedabad,Audi A4 2.0 TDI Premium Plus 2014,First Owner,1900000,https://droom.in/product/audi-a4-20-tdi-premium-plus-2014-5f2e428306724b165518e7a8
Diesel,80000 ,Ahmedabad,Audi Q3 2.0 TDI Quattro Premium Plus 2012,Second Owner,2000000,https://droom.in/product/audi-q3-20-tdi-quattro-premium-plus-2012-5f2e408164865d0a0ce3ae76
Diesel,6000 ,Jaipur,Mercedes-Benz CLA 200 CDI Sport 2020,First Owner,3600000,https://droom.in/product/mercedes-benz-cla-200-cdi-sport-2020-5f26358a21f0ceef07ce8589
Diesel,34000 ,Ludhiana,Maruti Suzuki Swift DZire ZDi 2015,First Owner,550000,https://droom.in/product/maruti-suzuki-swift-dzire-zdi-2015-5f2bc7b21a81ad150c7b55b2
Diesel,113000 ,Nagpur,Volvo S60 Cross Country 2012,First Owner,1500000,https://droom.in/product/volvo-s60-cross-country-2012-5f2e63f506724bc65218e7ec
Diesel,72000 ,Nagpur,Jaguar XF S V6 2010,Second Owner,1900000,https://droom.in/product/jaguar-xf-s-v6-2010-5f2e63ea9af4acfb0b79cee9
Diesel,120000 ,Delhi,Audi Q5 3.0 TDI Quattro 2014,First Owner,1442750,https://droom.in/product/audi-q5-30-tdi-quattro-2014-5f2f8466b3f4ac2909d4792f
